Date/Time,Ideal,Actual,CV2_SP,CV2_AV,CV3_SP,CV3_AV,Fan _speed,Temp_shift,Temp_Diff,MV1_AV,MV2_AV,MV3_AV,MV4_AV,MV5_AV,MV6_AV
2025.04.01 15:01:31,150,150.924,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.04.01 15:02:31,150,151.613,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.04.01 15:03:31,150,152.082,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.04.01 15:04:32,143.728,152.294,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.04.01 15:05:32,133.986,151.477,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.04.01 15:06:32,124.365,149.157,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.04.01 15:07:32,114.783,139.488,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.04.01 15:08:32,104.944,124.108,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.04.01 15:09:32,95.35,113.045,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.04.01 15:10:32,85.722,105.434,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.04.01 15:11:32,76.076,95.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.04.01 15:12:33,66.357,83.083,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.04.01 15:13:33,56.677,72.997,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.04.01 15:14:33,47.09,65.29,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.04.01 15:15:33,37.432,56.675,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.04.01 15:16:33,27.711,47.207,0,0,0,0,0,0,0,0,0,0,0,0,0
