step,timestamp,encoder,SIN_P,COS_P,SIN_N,COS_N,TEMP
50,20250328_102358,-633,17218,12868,8926,13311,27.87
51,20250328_102358,-628,17177,12481,8970,13699,27.87
52,20250328_102358,-639,17101,12086,9045,14090,27.87
53,20250328_102359,-619,16969,11709,9162,14465,27.87
54,20250328_102359,-633,16809,11342,9323,14838,27.87
55,20250328_102400,-631,16604,10968,9517,15190,27.87
56,20250328_102400,-618,16390,10652,9753,15538,27.87
57,20250328_102400,-630,16105,10328,10017,15843,27.87
58,20250328_102401,-621,15817,10043,10304,16129,27.87
59,20250328_102401,-640,15488,9773,10647,16403,27.83
60,20250328_102401,-628,15131,9541,10992,16633,27.87
61,20250328_102402,-638,14743,9349,11364,16826,27.87
62,20250328_102402,-624,14347,9185,11733,16968,27.83
63,20250328_102402,-630,13942,9071,12140,17097,27.87
64,20250328_102404,-616,13585,9000,12528,17165,27.87
