step,timestamp,encoder,SIN_P,COS_P,SIN_N,COS_N,cycle
0,2025-04-07 09:30:34,0,9638,11350,17045,15353,1
1,2025-04-07 09:30:34,620,9890,10999,16824,15724,1
2,2025-04-07 09:30:34,625,10169,10651,16543,16062,1
3,2025-04-07 09:30:35,620,10468,10346,16240,16377,1
4,2025-04-07 09:30:35,640,10805,10051,15899,16671,1
5,2025-04-07 09:30:35,627,11164,9794,15546,16919,1
6,2025-04-07 09:30:35,636,11543,9570,15162,17143,1
7,2025-04-07 09:30:36,625,11935,9395,14771,17334,1
8,2025-04-07 09:30:36,619,12334,9247,14373,17465,1
9,2025-04-07 09:30:36,626,12743,9149,13967,17569,1
10,2025-04-07 09:30:37,626,13161,9095,13546,17637,1
11,2025-04-07 09:30:37,639,13589,9077,13119,17648,1
12,2025-04-07 09:30:37,619,14003,9102,12714,17617,1
13,2025-04-07 09:30:38,635,14408,9173,12287,17541,1
14,2025-04-07 09:30:38,630,14810,9296,11892,17434,1
15,2025-04-07 09:30:38,631,15198,9447,11509,17270,1
16,2025-04-07 09:30:38,617,15561,9639,11136,17076,1
17,2025-04-07 09:30:39,622,15911,9876,10794,16862,1
18,2025-04-07 09:30:39,628,16241,10137,10470,16596,1
19,2025-04-07 09:30:39,627,16540,10429,10168,16301,1
20,2025-04-07 09:30:40,635,16808,10755,9888,15979,1
21,2025-04-07 09:30:40,619,17050,11097,9655,15638,1
22,2025-04-07 09:30:40,636,17259,11460,9451,15267,1
23,2025-04-07 09:30:40,627,17417,11845,9282,14894,1
24,2025-04-07 09:30:41,612,17542,12231,9161,14517,1
25,2025-04-07 09:30:41,621,17627,12623,9079,14107,1
26,2025-04-07 09:30:41,619,17670,13027,9033,13709,1
27,2025-04-07 09:30:42,631,17662,13442,9030,13294,1
28,2025-04-07 09:30:42,624,17621,13849,9079,12881,1
29,2025-04-07 09:30:42,630,17539,14260,9168,12474,1
30,2025-04-07 09:30:43,615,17410,14658,9291,12084,1
31,2025-04-07 09:30:43,624,17243,15043,9464,11690,1
32,2025-04-07 09:30:43,611,17042,15405,9668,11318,1
33,2025-04-07 09:30:43,626,16787,15770,9908,10961,1
34,2025-04-07 09:30:44,623,16511,16113,10189,10621,1
35,2025-04-07 09:30:44,613,16216,16414,10493,10307,1
36,2025-04-07 09:30:44,635,15877,16709,10833,10020,1
37,2025-04-07 09:30:45,619,15515,16962,11184,9765,1
38,2025-04-07 09:30:45,630,15134,17183,11571,9539,1
39,2025-04-07 09:30:45,617,14748,17361,11959,9359,1
40,2025-04-07 09:30:45,606,14352,17511,12353,9226,1
41,2025-04-07 09:30:46,625,13939,17608,12767,9117,1
42,2025-04-07 09:30:46,622,13524,17663,13188,9055,1
43,2025-04-07 09:30:46,626,13095,17682,13599,9043,1
44,2025-04-07 09:30:47,615,12691,17663,14019,9071,1
45,2025-04-07 09:30:47,631,12280,17579,14432,9137,1
46,2025-04-07 09:30:47,623,11880,17466,14826,9257,1
47,2025-04-07 09:30:48,625,11489,17319,15210,9411,1
48,2025-04-07 09:30:48,608,11137,17130,15577,9594,1
49,2025-04-07 09:30:48,619,10788,16901,15924,9825,1
50,2025-04-07 09:30:48,630,10456,16643,16252,10093,1
51,2025-04-07 09:30:49,631,10153,16339,16553,10379,1
52,2025-04-07 09:30:49,634,9881,16017,16832,10702,1
53,2025-04-07 09:30:49,616,9644,15689,17066,11046,1
54,2025-04-07 09:30:50,632,9438,15321,17269,11407,1
55,2025-04-07 09:30:50,626,9276,14935,17438,11780,1
56,2025-04-07 09:30:50,619,9148,14550,17555,12167,1
57,2025-04-07 09:30:50,626,9062,14158,17647,12574,1
58,2025-04-07 09:30:51,623,9021,13747,17692,12972,1
59,2025-04-07 09:30:51,638,9020,13332,17689,13390,1
60,2025-04-07 09:30:51,627,9061,12924,17644,13804,1
61,2025-04-07 09:30:52,638,9147,12502,17553,14204,1
